"6"	"Mecklenburg Co School District"	"Mecklenburg County School District"	"0"
"5"	"Kewaskum School District"	"Kewaskum School District"	"1"
"31"	"Hernando Co School District"	"Hernando County School District"	"1"
"1"	"Farmington Ctl Cmty SD 265"	"Farmington Central Community School District 265"	"0"
"1"	"Raymond School District 116"	"Raymond School District 116"	"0"
"1"	"Jal School District"	"Jal School District"	"0"
"3"	"Pleasantville Cmty School Dist"	"Pleasantville Community School District"	"1"
"1"	"Lagunita School District"	"Lagunita School District"	"0"
"5"	"Spencer-owen Cmty Sch District"	"Spencer-owen Community School District"	"0"
"18"	"Indian Springs Sch Dist 109"	"Indian Springs School District 109"	"0"
"2"	"Waurika School District 23"	"Waurika School District 23"	"0"
"1"	"Tanana City School District"	"Tanana City School District"	"0"
"44"	"Patterson Joint Unif Sch Dist"	"Patterson Joint Unified School District"	"1"
"1"	"Anadarko School District I-20"	"Anadarko School District I-20"	"0"
"1"	"Caddo Mills Ind Sch Dist"	"Caddo Mills Independent School District"	"1"
"5"	"Center Joint Unif Sch Dist"	"Center Joint Unified School District"	"1"
"4"	"St Louis Co Spec Sch Dist"	"Saint Louis County Spec School District"	"0"
"7"	"West Prairie Cmty Sch Dist 103"	"West Prairie Community School District 103"	"0"
"1"	"Five Towns Cmty School Dist"	"Five Towns Community School District"	"0"
"7"	"Coopersville Area Pub Sch Dist"	"Coopersville Area Public School District"	"0"
"3"	"Iola Unified School Dist 257"	"Iola Unified School District 257"	"1"
"18"	"Grant Parish School District"	"Grant Parish School District"	"1"
"6"	"Wilson Ind School District"	"Wilson Independent School District"	"1"
"2"	"Lackawanna City Sch District"	"Lackawanna City School District"	"1"
"230"	"Aiken Co School District"	"Aiken County School District"	"1"
"7"	"Thomasboro Cmty Cons SD 130"	"Thomasboro Community Consolidated School District 130"	"0"
"3"	"Lewistown Community Unit SD 97"	"Lewistown Community Unit School District 97"	"1"
"10"	"West Perry School District"	"West Perry School District"	"1"
"6"	"Roanoke Co Public School Dist"	"Roanoke County Public School District"	"0"
"20"	"Coloma Cmty School District"	"Coloma Community School District"	"0"
"6"	"Trumbull Public School Dist"	"Trumbull Public School District"	"0"
"2"	"Wheatland Joint Sch District 1"	"Wheatland Joint School District 1"	"0"
